label,width,depth,gain,base_lr,spike_height,fwhm,tail_stat
N10_L2,10,2,1.0,0.05,0.025592148303985596,0.6862032138650066,0.18649216294288629
N10_L12,10,12,1.0,0.05,0.25104954838752747,0.7433645532520681,0.1278692066669461
N200_L2,200,2,1.0,0.05,-0.13620011011759448,0.0,0.14147559404373178
N200_L12,200,12,1.0,0.05,-0.023735086123148605,0.0,0.059300839900970403
