label,width,depth,radius,coherence
N10_L2,10,2,0.006,0.7071068286895752
N10_L2,10,2,0.018000000000000002,0.7063332994778951
N10_L2,10,2,0.030000000000000002,0.7046314477920532
N10_L2,10,2,0.042,0.7019874254862467
N10_L2,10,2,0.054,0.6995057463645935
N10_L2,10,2,0.066,0.6962451934814453
N10_L2,10,2,0.07800000000000001,0.6900388399759928
N10_L2,10,2,0.09,0.6820221741994222
N10_L2,10,2,0.10200000000000001,0.6726812720298767
N10_L2,10,2,0.11399999999999999,0.6634800632794698
N10_L2,10,2,0.126,0.6523987253506979
N10_L2,10,2,0.138,0.638327419757843
N10_L2,10,2,0.15000000000000002,0.6244916319847107
N10_L2,10,2,0.162,0.6113184690475464
N10_L2,10,2,0.174,0.6005456844965616
N10_L2,10,2,0.186,0.5882086654504141
N10_L2,10,2,0.198,0.5740947922070821
N10_L2,10,2,0.21000000000000002,0.5599230527877808
N10_L2,10,2,0.222,0.5474264721075693
N10_L2,10,2,0.23399999999999999,0.537577211856842
N10_L2,10,2,0.246,0.5244336326917013
N10_L2,10,2,0.258,0.5129600067933401
N10_L2,10,2,0.27,0.5022547841072083
N10_L2,10,2,0.28200000000000003,0.4926376938819885
N10_L2,10,2,0.29400000000000004,0.4841284553209941
N10_L2,10,2,0.306,0.47510018944740295
N10_L2,10,2,0.318,0.46413079897562665
N10_L2,10,2,0.33,0.4581924279530843
N10_L2,10,2,0.342,0.44958996772766113
N10_L2,10,2,0.354,0.44468891620635986
N10_L2,10,2,0.366,0.43618854880332947
N10_L2,10,2,0.378,0.43121055761973065
N10_L2,10,2,0.39,0.4239105482896169
N10_L2,10,2,0.402,0.4193096160888672
N10_L2,10,2,0.41400000000000003,0.4109252293904622
N10_L2,10,2,0.426,0.40689478317896527
N10_L2,10,2,0.438,0.40324827035268146
N10_L2,10,2,0.45,0.399727741877238
N10_L2,10,2,0.462,0.3974301517009735
N10_L2,10,2,0.474,0.38924330472946167
N10_L2,10,2,0.486,0.38363664348920185
N10_L2,10,2,0.498,0.3832317690054576
N10_L2,10,2,0.51,0.38011249899864197
N10_L2,10,2,0.522,0.374260072906812
N10_L2,10,2,0.534,0.37388355533281964
N10_L2,10,2,0.546,0.374102383852005
N10_L2,10,2,0.558,0.37159042060375214
N10_L2,10,2,0.5700000000000001,0.3688872853914897
N10_L2,10,2,0.5820000000000001,0.36788008113702136
N10_L2,10,2,0.594,0.3652300238609314
N10_L2,10,2,0.606,0.3658606857061386
N10_L2,10,2,0.618,0.3628496875365575
N10_L2,10,2,0.63,0.3630895217259725
N10_L2,10,2,0.642,0.3649590114752452
N10_L2,10,2,0.654,0.36512500544389087
N10_L2,10,2,0.666,0.361137976249059
N10_L2,10,2,0.678,0.36097868780295056
N10_L2,10,2,0.6900000000000001,0.3594562311967214
N10_L2,10,2,0.702,0.36120214064915973
N10_L2,10,2,0.714,0.36082008977731067
N10_L2,10,2,0.726,0.35779084265232086
N10_L2,10,2,0.738,0.3561541587114334
N10_L2,10,2,0.75,0.35408703486124676
N10_L2,10,2,0.762,0.3531046013037364
N10_L2,10,2,0.774,0.35541996856530506
N10_L2,10,2,0.786,0.3483150253693263
N10_L2,10,2,0.798,0.3485645204782486
N10_L2,10,2,0.81,0.3451579809188843
N10_L2,10,2,0.8220000000000001,0.34318770468235016
N10_L2,10,2,0.8340000000000001,0.34613129993279773
N10_L2,10,2,0.846,0.3339007745186488
N10_L2,10,2,0.858,0.33204669257005054
N10_L2,10,2,0.87,0.32985549171765643
N10_L2,10,2,0.882,0.3291123112042745
N10_L2,10,2,0.894,0.33415554960568744
N10_L2,10,2,0.906,0.32457661132017773
N10_L2,10,2,0.918,0.317558154463768
N10_L2,10,2,0.93,0.3151711771885554
N10_L2,10,2,0.9420000000000001,0.3059864938259125
N10_L2,10,2,0.954,0.3060073107481003
N10_L2,10,2,0.966,0.2878495156764984
N10_L2,10,2,0.978,0.28664934635162354
N10_L2,10,2,0.99,0.2769969453414281
N10_L2,10,2,1.002,0.26950323581695557
N10_L2,10,2,1.014,0.2579414943854014
N10_L2,10,2,1.026,0.25651614864667255
N10_L2,10,2,1.038,0.2546384533246358
N10_L2,10,2,1.05,0.2488205979267756
N10_L2,10,2,1.062,0.2412274827559789
N10_L2,10,2,1.074,0.2260347157716751
N10_L2,10,2,1.086,0.22823670009771982
N10_L2,10,2,1.098,0.21293058494726816
N10_L2,10,2,1.11,0.20433160165945688
N10_L2,10,2,1.122,0.19400173425674438
N10_L2,10,2,1.1340000000000001,0.185708021124204
N10_L2,10,2,1.1460000000000001,0.1855588605006536
N10_L2,10,2,1.158,0.17893612384796143
N10_L2,10,2,1.17,0.17345758279164633
N10_L2,10,2,1.182,0.1647228648265203
N10_L2,10,2,1.194,0.15357270340124765
N10_L12,10,12,0.006,0.7071068088213602
N10_L12,10,12,0.018000000000000002,0.6929574608802795
N10_L12,10,12,0.030000000000000002,0.6569650769233704
N10_L12,10,12,0.042,0.5823258956273397
N10_L12,10,12,0.054,0.5689056615034739
N10_L12,10,12,0.066,0.5400945246219635
N10_L12,10,12,0.07800000000000001,0.546695331732432
N10_L12,10,12,0.09,0.5516584813594818
N10_L12,10,12,0.10200000000000001,0.5508757929007212
N10_L12,10,12,0.11399999999999999,0.5303773432970047
N10_L12,10,12,0.126,0.5271037618319193
N10_L12,10,12,0.138,0.5183283438285192
N10_L12,10,12,0.15000000000000002,0.5080997347831726
N10_L12,10,12,0.162,0.500984380642573
N10_L12,10,12,0.174,0.4898395737012227
N10_L12,10,12,0.186,0.4837946544090907
N10_L12,10,12,0.198,0.4712962607542674
N10_L12,10,12,0.21000000000000002,0.4516722857952118
N10_L12,10,12,0.222,0.43996622165044147
N10_L12,10,12,0.23399999999999999,0.43027593692143756
N10_L12,10,12,0.246,0.4166487207015355
N10_L12,10,12,0.258,0.4050184190273285
N10_L12,10,12,0.27,0.39226076503594715
N10_L12,10,12,0.28200000000000003,0.3784627517064412
N10_L12,10,12,0.29400000000000004,0.3669154445330302
N10_L12,10,12,0.306,0.34320005774497986
N10_L12,10,12,0.318,0.324712077776591
N10_L12,10,12,0.33,0.31274019678433734
N10_L12,10,12,0.342,0.29861050347487134
N10_L12,10,12,0.354,0.3070387840270996
N10_L12,10,12,0.366,0.2774930497010549
N10_L12,10,12,0.378,0.26419708629449207
N10_L12,10,12,0.39,0.24808586637179056
N10_L12,10,12,0.402,0.24290076394875845
N10_L12,10,12,0.41400000000000003,0.24181965986887613
N10_L12,10,12,0.426,0.21507481733957926
N10_L12,10,12,0.438,0.20330925782521567
N10_L12,10,12,0.45,0.19214165210723877
N10_L12,10,12,0.462,0.18963909645875296
N10_L12,10,12,0.474,0.18494916955629984
N10_L12,10,12,0.486,0.16585955768823624
N10_L12,10,12,0.498,0.1581899325052897
N10_L12,10,12,0.51,0.15276818970839182
N10_L12,10,12,0.522,0.14677287638187408
N10_L12,10,12,0.534,0.1436221425731977
N10_L12,10,12,0.546,0.13253960758447647
N10_L12,10,12,0.558,0.12398851414521535
