label,width,depth,gain,base_lr,mean,var,eps
N10_L2,10,2,1.0,0.05,0.5744079748789469,0.1100495308637619,0.02
N10_L12,10,12,1.0,0.05,0.9836998184521993,0.00041870173708957736,0.02
N200_L2,200,2,1.0,0.05,0.015468784142285585,0.0003987900587768915,0.02
N200_L12,200,12,1.0,0.05,0.6186889054564139,0.006799158329765002,0.02
