N,L,g,lr,RA,KA,rho_lambda,G_lambda,sat_frac,rho_unsat
10,2,0.800000011920929,0.02500000037252903,0.8443681796391805,0.9440860350926717,-0.09881095843287664,0.020389153173435214,0.1645,-0.06675365804307973
50,2,0.800000011920929,0.02500000037252903,0.9753990372021993,0.8653391003608704,-0.08731335376443602,0.0055981123521345495,0.16208333333333333,-0.049216448401722006
100,2,0.800000011920929,0.02500000037252903,0.9798265695571899,0.8733187119166056,0.11315736868723122,0.0032497009554026423,0.16283333333333333,0.027143475615329673
200,2,0.800000011920929,0.02500000037252903,0.9924351970354716,0.9278717637062073,0.18785410153817747,0.00298343375024227,0.16408333333333333,0.0005641719721893696
10,6,0.800000011920929,0.02500000037252903,0.07246306662758191,0.893189013004303,-0.697266456832462,0.005292091508447487,0.16425,-0.5283890274923428
50,6,0.800000011920929,0.02500000037252903,0.8543195525805155,0.9802846908569336,-0.02714767693063917,0.0015049341612594443,0.1675,-0.12361480493670918
100,6,0.800000011920929,0.02500000037252903,0.8484631776809692,0.9855191508928934,-0.09121811257598522,0.002139825575334616,0.1655,-0.06263369256561838
200,6,0.800000011920929,0.02500000037252903,0.9810639222462972,0.9765374263127645,0.26796445587080575,0.0006832849831970827,0.16941666666666666,0.08449962373125607
10,8,0.800000011920929,0.02500000037252903,0.08068890993793805,0.9006058971087137,-0.7026385724899487,0.003511157205121355,0.16291666666666665,-0.527780253597929
50,8,0.800000011920929,0.02500000037252903,0.6322864492734274,0.9350478450457255,-0.44209882264428535,0.0013532684806920586,0.162,-0.28293727440164057
100,8,0.800000011920929,0.02500000037252903,0.6488111813863119,0.906182607014974,-0.412152313085597,0.0012254021707815753,0.16241666666666665,-0.27140303796250986
200,8,0.800000011920929,0.02500000037252903,0.8592774669329325,0.9830166498819987,-0.054034321731609915,0.0012810354583013992,0.16541666666666666,-0.09999913988684259
10,12,0.800000011920929,0.02500000037252903,0.08029206528832826,0.7408670882383982,-0.8278010764718383,0.003440284043236931,0.17458333333333334,-0.7226742830358607
50,12,0.800000011920929,0.02500000037252903,0.08667126732567947,0.8109116554260254,-0.5932246272991154,0.0008838644357842422,0.16358333333333333,-0.40145927165910933
100,12,0.800000011920929,0.02500000037252903,0.12061400959889094,0.6858715017636617,-0.4197833508509383,0.0012800510885144795,0.1625,-0.25451918827644693
200,12,0.800000011920929,0.02500000037252903,0.580448697010676,0.8197210232416788,-0.20565957722374356,0.0006440286524829912,0.16675,-0.07591202133521702
10,2,0.800000011920929,0.05000000074505806,0.6987713674704233,0.9428068002065023,-0.4265231220772677,0.022944289385361014,0.163,-0.27868286473598075
50,2,0.800000011920929,0.05000000074505806,0.8918259541193644,0.8438613613446554,-0.05746214841073747,0.007660076784547722,0.16208333333333333,-0.05435940044895602
100,2,0.800000011920929,0.05000000074505806,0.969962497552236,0.8426039020220438,0.03705879007649976,0.0037425963252540745,0.16408333333333333,-0.03438449304596482
200,2,0.800000011920929,0.05000000074505806,0.9955395857493082,0.9354200760523478,0.21471855435510348,0.002843407858364832,0.1645,0.04841844833764753
10,6,0.800000011920929,0.05000000074505806,0.2757101890941461,0.9144636193911234,-0.5632553419511694,0.006762359927879619,0.16366666666666665,-0.39096204420652275
50,6,0.800000011920929,0.05000000074505806,0.8570164442062378,0.9718453884124756,-0.24431760353275678,0.0014986744112910149,0.16258333333333333,-0.17514765629687062
100,6,0.800000011920929,0.05000000074505806,0.8625931541124979,0.976955513159434,-0.13122166025184054,0.0019433230068382841,0.16491666666666666,-0.151340843385676
