N,L,g,lr,RA,KA,rho_lambda,G_lambda,sat_frac,rho_unsat
200,6,0.800000011920929,0.05000000074505806,0.945483942826589,0.9665604829788208,0.10628606377226238,0.0014106245630755513,0.16708333333333333,-0.003022887268931477
10,8,0.800000011920929,0.05000000074505806,0.13994455710053444,0.8357072273890177,-0.6594996667026979,0.008697600026298538,0.16616666666666666,-0.49890618209809756
50,8,0.800000011920929,0.05000000074505806,0.3423652450243632,0.9061052799224854,-0.6072951147470286,0.0012829825327589424,0.16191666666666665,-0.41502193435452467
100,8,0.800000011920929,0.05000000074505806,0.8560347358385721,0.9129974842071533,-0.03819934115961752,0.0011454047739018571,0.16766666666666666,-0.06559445351599143
200,8,0.800000011920929,0.05000000074505806,0.9435745477676392,0.9857494036356608,0.2853159993003506,0.0007051971551228267,0.16766666666666666,0.09147132673303661
10,12,0.800000011920929,0.05000000074505806,0.004637474659830332,0.7674582004547119,-0.8457329687599963,0.004122599212372261,0.16808333333333333,-0.7512841486318935
50,12,0.800000011920929,0.05000000074505806,0.046932622169454895,0.8152018189430237,-0.6604772535262344,0.0008878626354626492,0.16366666666666665,-0.4689356411807654
100,12,0.800000011920929,0.05000000074505806,0.18035476158062616,0.7325981458028158,-0.36129126707995246,0.0013587850641971838,0.163,-0.1986177950047529
200,12,0.800000011920929,0.05000000074505806,0.6709480881690979,0.8579778869946798,-0.20301302796555587,0.000276018150304241,0.167,-0.04539050544331673
10,2,0.800000011920929,0.07500000298023224,0.7522380749384562,0.9535438418388367,-0.41958921123469445,0.022744420835839746,0.16091666666666668,-0.2672973215230567
50,2,0.800000011920929,0.07500000298023224,0.9505875905354818,0.8688677748044332,0.04179561901142872,0.005791693137194867,0.16308333333333333,0.007221859706542466
100,2,0.800000011920929,0.07500000298023224,0.9601933161417643,0.8847529093424479,0.16669358601313342,0.0038942119686911536,0.16475,0.06294358281097706
200,2,0.800000011920929,0.07500000298023224,0.9894413749376932,0.9057087699572245,0.06215541850134185,0.003408834116378162,0.164,-0.061981918827678895
10,6,0.800000011920929,0.07500000298023224,0.29754050076007843,0.9150305191675822,-0.6466713929714686,0.0027210745210551933,0.16383333333333333,-0.492456735791487
50,6,0.800000011920929,0.07500000298023224,0.7924253145853678,0.9778627753257751,-0.4424494417570908,0.0015561986344312716,0.16175,-0.2857336110667225
100,6,0.800000011920929,0.07500000298023224,0.922339657942454,0.9824945330619812,-0.09728635003591642,0.0018472298780404894,0.16416666666666666,-0.07927830362147151
200,6,0.800000011920929,0.07500000298023224,0.9684184392293295,0.9750637412071228,0.005045707511130696,0.0016119651254410062,0.1655,-0.05813700764972162
10,8,0.800000011920929,0.07500000298023224,0.09286406077444553,0.8572596112887064,-0.8193638028972136,0.004546836770210553,0.16141666666666668,-0.7082805326681193
50,8,0.800000011920929,0.07500000298023224,0.6026229659716288,0.9235215584437052,-0.24949949566499466,0.0028222242738729945,0.16383333333333333,-0.1309499637375005
100,8,0.800000011920929,0.07500000298023224,0.808632493019104,0.9394658009211222,-0.09759675405817166,0.001501837235639556,0.16775,-0.0704953151085879
200,8,0.800000011920929,0.07500000298023224,0.826452374458313,0.9755152861277262,-0.16108738968817185,0.0011407789722884232,0.166,-0.11928219507419228
10,12,0.800000011920929,0.07500000298023224,0.006458799660322256,0.6039715607961019,-0.8429984561984741,0.011251936347307064,0.16733333333333333,-0.7502012695659869
50,12,0.800000011920929,0.07500000298023224,0.050539266938964524,0.7337826291720072,-0.7297993956134986,0.0010055762818168314,0.16175,-0.5632159953392394
100,12,0.800000011920929,0.07500000298023224,0.3668493131796519,0.7332886656125387,-0.330308618235477,0.0010116898737010875,0.16433333333333333,-0.1687672882162822
200,12,0.800000011920929,0.07500000298023224,0.683545192082723,0.8486621975898743,-0.13916957384917872,0.00035083105396857556,0.16708333333333333,-0.034799746539625254
10,2,0.800000011920929,0.10000000149011612,0.7089119156201681,0.9371014833450317,-0.4799849862834118,0.028417989888715113,0.16308333333333333,-0.3356329398244521
50,2,0.800000011920929,0.10000000149011612,0.9401444395383199,0.9084851940472921,0.09339396262496685,0.005379065653437084,0.1645,-0.010173005029835872
100,2,0.800000011920929,0.10000000149011612,0.9604033629099528,0.8908857703208923,0.13959928149738296,0.004363489581222347,0.166,0.014847888673196676
200,2,0.800000011920929,0.10000000149011612,0.9830108284950256,0.9233748118082682,0.17698838638418815,0.003144364754339146,0.165,0.023609676307925216
10,6,0.800000011920929,0.10000000149011612,0.07246441021561623,0.9042146404584249,-0.7041339799420815,0.005191467288492451,0.16233333333333333,-0.5344368710310641
50,6,0.800000011920929,0.10000000149011612,0.7374887665112814,0.9872458378473917,-0.32769405853306116,0.0025965717099414335,0.16341666666666665,-0.1917322583120391
100,6,0.800000011920929,0.10000000149011612,0.8600075840950012,0.9826519886652628,-0.1508303571897524,0.001688704023508329,0.16383333333333333,-0.1098655100771163
200,6,0.800000011920929,0.10000000149011612,0.8930700620015463,0.9645349383354187,-0.20879899395383916,0.0016527211653789879,0.16175,-0.14174070476583508
10,8,0.800000011920929,0.10000000149011612,0.10583255928941071,0.8109286626180013,-0.6637872369665562,0.010743228511797952,0.16466666666666666,-0.46817390961569855
50,8,0.800000011920929,0.10000000149011612,0.3033326268196106,0.8914852738380432,-0.6209305524586968,0.0013593387085671538,0.16183333333333333,-0.42149667332336443
100,8,0.800000011920929,0.10000000149011612,0.8332064549128214,0.9286006490389506,-0.05455596610461312,0.001694147267875417,0.16941666666666666,-0.032494156998736146
200,8,0.800000011920929,0.10000000149011612,0.951420267422994,0.9866106907526652,0.19439357064542612,0.0006808801070760351,0.16908333333333334,0.019117175298954407
10,12,0.800000011920929,0.10000000149011612,0.007856075457918147,0.3920517365137736,-0.9566206527030792,0.016971799316088644,0.17675,-0.9520555237185531
50,12,0.800000011920929,0.10000000149011612,0.04382527122894923,0.7670931220054626,-0.7562875982437498,0.000866157832511847,0.164,-0.6093355220482525
100,12,0.800000011920929,0.10000000149011612,0.40592624247074127,0.7588150302569071,-0.2932551893262212,0.0009279933892077011,0.16583333333333333,-0.1392277953088462
200,12,0.800000011920929,0.10000000149011612,0.7027976512908936,0.8455578287442526,-0.22289741005943992,0.0003292792811787203,0.16716666666666666,-0.10602759195881516
10,2,0.8999999761581421,0.02500000037252903,0.6996978123982748,0.9338140288988749,-0.36063206892120364,0.017503314548071268,0.16258333333333333,-0.22846771079475706
50,2,0.8999999761581421,0.02500000037252903,0.9461223681767782,0.9008528192838033,0.013053931717869295,0.008158533737730527,0.16575,-0.02472361173668831
100,2,0.8999999761581421,0.02500000037252903,0.9534994761149088,0.914079487323761,0.1407575717189339,0.005607550270683916,0.1645,-0.00343711383685891
200,2,0.8999999761581421,0.02500000037252903,0.9866018493970236,0.9626607100168864,0.22664612428717232,0.003954598968188458,0.16716666666666666,0.04460261804167298
10,6,0.8999999761581421,0.02500000037252903,0.2547507931788762,0.887753963470459,-0.736273236549027,0.005798626643105591,0.16441666666666666,-0.5931046578231791
50,6,0.8999999761581421,0.02500000037252903,0.6926267345746359,0.9602323969205221,-0.24453246011120824,0.0024715833181324126,0.16383333333333333,-0.18035534060331646
100,6,0.8999999761581421,0.02500000037252903,0.9259303212165833,0.9739003380139669,0.2002518382114416,0.001430641525778303,0.16283333333333333,0.06734090618873236
200,6,0.8999999761581421,0.02500000037252903,0.944195568561554,0.9689842263857523,0.22218828446241567,0.001457555696949429,0.16675,0.031958802634075974
10,8,0.8999999761581421,0.02500000037252903,0.0517809484153986,0.8838161627451578,-0.7483979826988885,0.003511408584729192,0.16425,-0.6100288080323084
50,8,0.8999999761581421,0.02500000037252903,0.621471087137858,0.9505223433176676,-0.490702946914322,0.0014712214170626613,0.1615,-0.32143175417030423
100,8,0.8999999761581421,0.02500000037252903,0.7314413189888,0.9711971282958984,-0.34260154624063,0.0014933457905749994,0.16575,-0.23344482398381003
200,8,0.8999999761581421,0.02500000037252903,0.9072455565134684,0.9721797903378805,0.325521805867398,0.0009283572643808028,0.16966666666666666,0.11902651132426657
10,12,0.8999999761581421,0.02500000037252903,0.010383679997175932,0.8202369610468546,-0.9040291828173036,0.0027337724658458764,0.16391666666666665,-0.8437074849265712
50,12,0.8999999761581421,0.02500000037252903,0.32837019860744476,0.9250485698382059,-0.3722129119905492,0.001754274792135626,0.16458333333333333,-0.24151446913653044
100,12,0.8999999761581421,0.02500000037252903,0.6886929472287496,0.9419884284337362,-0.05506840954038697,0.0008934294592920248,0.16566666666666666,-0.06947175403276058
200,12,0.8999999761581421,0.02500000037252903,0.9182962576548258,0.9828197956085205,0.08908171308594354,0.0006873138082226696,0.16433333333333333,-0.05194893190885952
10,2,0.8999999761581421,0.05000000074505806,0.8190064430236816,0.9336340030034384,-0.509526087626956,0.025050576317257888,0.16183333333333333,-0.34515830853964546
50,2,0.8999999761581421,0.05000000074505806,0.9538857539494833,0.8355822563171387,-0.05263177998932796,0.004002699953377893,0.162,-0.03540669519877607
100,2,0.8999999761581421,0.05000000074505806,0.9608308871587118,0.8793964783350626,0.1597148438357824,0.00539374976527372,0.16275,0.032040451661763995
200,2,0.8999999761581421,0.05000000074505806,0.9860460162162781,0.9009091059366862,0.07879875709791594,0.003517017939883303,0.16158333333333333,-0.026226883808360496
10,6,0.8999999761581421,0.05000000074505806,0.3152344425519307,0.909273366133372,-0.6624608435275796,0.006858090618708319,0.16233333333333333,-0.4986059328798053
50,6,0.8999999761581421,0.05000000074505806,0.9196274081865946,0.9622305631637573,-0.027683710074546123,0.0021004069230770163,0.16583333333333333,-0.09500534642828375
100,6,0.8999999761581421,0.05000000074505806,0.9008502960205078,0.9525612791379293,-0.04791367976499214,0.0018886105897768916,0.16475,-0.09586642595215358
200,6,0.8999999761581421,0.05000000074505806,0.961564858754476,0.9650674064954122,0.19001278358302082,0.0012859725043033378,0.16458333333333333,0.04348945538931278
10,8,0.8999999761581421,0.05000000074505806,0.019145813460151356,0.862144668896993,-0.8016283431659347,0.004723936938814123,0.16516666666666666,-0.6816625646373021
50,8,0.8999999761581421,0.05000000074505806,0.6799161632855734,0.9636643330256144,-0.3316140831888154,0.001331575969037202,0.16283333333333333,-0.23038270064650268
100,8,0.8999999761581421,0.05000000074505806,0.8321853478749593,0.9791527986526489,-0.07727189324759713,0.0016229035189826541,0.16425,-0.07325156084614413
200,8,0.8999999761581421,0.05000000074505806,0.9335280855496725,0.977847139040629,0.24651371072902997,0.000780620974914223,0.16791666666666666,0.06255774788694565
10,12,0.8999999761581421,0.05000000074505806,0.09107656280199687,0.830838143825531,-0.8491880608153513,0.002604672241513342,0.16291666666666665,-0.7568172579408644
50,12,0.8999999761581421,0.05000000074505806,0.23347482085227966,0.925756831963857,-0.6306903243202249,0.0008082708281590656,0.16183333333333333,-0.44701697751359265
100,12,0.8999999761581421,0.05000000074505806,0.7136487662792206,0.9371008276939392,-0.15410728470417032,0.001139464103180258,0.16175,-0.10284809677986313
200,12,0.8999999761581421,0.05000000074505806,0.8595461050669352,0.9789685209592184,0.03440182756299421,0.0009824342740800693,0.16625,-0.012397572176673963
10,2,0.8999999761581421,0.07500000298023224,0.8011982242266337,0.9304807186126709,-0.08673532295497108,0.024011099741292053,0.16541666666666666,-0.060719575869488125
50,2,0.8999999761581421,0.07500000298023224,0.9719138940175375,0.8983843127886454,0.10309883155838843,0.005512754171071764,0.16483333333333333,0.0549353407973769
100,2,0.8999999761581421,0.07500000298023224,0.9780054092407227,0.8773895104726156,0.1489712671953389,0.00561848495365363,0.16433333333333333,0.0527112651368271
200,2,0.8999999761581421,0.07500000298023224,0.9796638290087382,0.9351048072179159,0.1325391419148416,0.0035499423317573585,0.16466666666666666,-0.004048899914169451
10,6,0.8999999761581421,0.07500000298023224,0.19653082390626272,0.931839644908905,-0.7804924427431199,0.004353184869759146,0.1615,-0.6535026323476419
50,6,0.8999999761581421,0.07500000298023224,0.8933875362078348,0.9734123547871908,-0.10810086339015788,0.0019891608376454615,0.16133333333333333,-0.10073215431567321
100,6,0.8999999761581421,0.07500000298023224,0.9110213120778402,0.96094944079717,0.008862673666840163,0.0016902857530120903,0.16183333333333333,-0.057843823081851736
200,6,0.8999999761581421,0.07500000298023224,0.9459758003552755,0.955477774143219,0.1904044455211277,0.001546336299610798,0.16441666666666666,0.0458782380717674
10,8,0.8999999761581421,0.07500000298023224,0.04848055479427179,0.9151585896809896,-0.7009706440405863,0.003891731096256117,0.16516666666666666,-0.5453778159111617
50,8,0.8999999761581421,0.07500000298023224,0.8505340218544006,0.973184327284495,-0.05370235815954632,0.0020277726881047105,0.165,-0.05100430803908207
100,8,0.8999999761581421,0.07500000298023224,0.9497889479001363,0.9761992891629537,0.11801193191338552,0.0009645289198710931,0.16691666666666666,-0.01018644511744122
200,8,0.8999999761581421,0.07500000298023224,0.931477685769399,0.9825131098429362,0.11254429065208599,0.0009028145605943969,0.16433333333333333,-0.030321674824761016
10,12,0.8999999761581421,0.07500000298023224,0.016558972226145368,0.5502424339453379,-0.909214976302414,0.012665935905455332,0.16916666666666666,-0.8719555450131494
50,12,0.8999999761581421,0.07500000298023224,0.26584632446368534,0.90408855676651,-0.6348460257922663,0.000843879231758399,0.16391666666666665,-0.4451652247725217
100,12,0.8999999761581421,0.07500000298023224,0.6660939653714498,0.9377577503522238,-0.03288880273751376,0.0010899244219591212,0.16591666666666666,-0.038121316777670625
200,12,0.8999999761581421,0.07500000298023224,0.8029242753982544,0.9831752181053162,-0.0783924432581459,0.000801382371847911,0.165,-0.08052499800381677
10,2,0.8999999761581421,0.10000000149011612,0.8630326588948568,0.9246007800102234,-0.3650048607908556,0.026142685059906925,0.16225,-0.2527563481152286
50,2,0.8999999761581421,0.10000000149011612,0.9423983097076416,0.8915865421295166,0.0866330759652585,0.008114052171201336,0.16275,-0.0008985888308076177
100,2,0.8999999761581421,0.10000000149011612,0.9770459135373434,0.949280858039856,0.2039277049934894,0.005614046423474001,0.16583333333333333,0.04961247870202267
200,2,0.8999999761581421,0.10000000149011612,0.9805412491162618,0.9196169575055441,0.1592231929214242,0.005378330781349862,0.16475,0.006781187961311441
10,6,0.8999999761581421,0.10000000149011612,0.10552291572093964,0.9251095652580261,-0.7577272129879503,0.004861766759347779,0.16183333333333333,-0.6415754912563509
50,6,0.8999999761581421,0.10000000149011612,0.751737912495931,0.9631102283795675,-0.289779970413911,0.0026259834055781467,0.1625,-0.21232685297089107
100,6,0.8999999761581421,0.10000000149011612,0.9196306864420573,0.9696486790974935,0.11944772754828417,0.0013095058799330289,0.16475,-0.03962160981798644
200,6,0.8999999761581421,0.10000000149011612,0.9700010021527609,0.9683955113093058,0.2450004898981511,0.0012001524049973591,0.16608333333333333,0.06612430758833562
10,8,0.8999999761581421,0.10000000149011612,0.1287710058192412,0.8742853403091431,-0.7090665903200715,0.0033120482481045527,0.16541666666666666,-0.5521567499352759
50,8,0.8999999761581421,0.10000000149011612,0.6775387128194174,0.9554028908411661,-0.048607571602807494,0.0016939122847187255,0.16558333333333333,-0.07620634268224084
100,8,0.8999999761581421,0.10000000149011612,0.7640614906946818,0.9731579422950745,-0.12811406722936167,0.0013648128124956868,0.16208333333333333,-0.11633753302837019
200,8,0.8999999761581421,0.10000000149011612,0.8920820951461792,0.968820850054423,0.10650388597174613,0.0011589839002553565,0.16733333333333333,-0.017364458736809925
10,12,0.8999999761581421,0.10000000149011612,0.05147221311926842,0.37037548422813416,-0.963692050021215,0.013745633315595796,0.17283333333333334,-0.9533092593669348
50,12,0.8999999761581421,0.10000000149011612,0.17386174201965332,0.9192500511805216,-0.684056467463902,0.0006795271927746449,0.1615,-0.5020849789245588
100,12,0.8999999761581421,0.10000000149011612,0.7647607326507568,0.9342452883720398,0.009862706548191803,0.0005279498658530928,0.169,-0.05072045282624913
200,12,0.8999999761581421,0.10000000149011612,0.8320438464482626,0.987692674001058,-0.025082077217641503,0.0008344576489354538,0.16383333333333333,-0.040827297731499186
10,2,1.0,0.02500000037252903,0.8257077137629191,0.9249003330866495,-0.19420982136887233,0.029706554507548097,0.16566666666666666,-0.12864741610156158
50,2,1.0,0.02500000037252903,0.9460300803184509,0.9033041795094808,0.11053635606452708,0.009136217695121115,0.16441666666666666,0.014108057106277182
100,2,1.0,0.02500000037252903,0.9785833557446798,0.9544679522514343,0.2229278359987585,0.005728369846564386,0.166,0.06174165080329755
200,2,1.0,0.02500000037252903,0.9749367634455363,0.9657617410024008,0.2050561832983674,0.006861056144571585,0.1655,0.038509364905049484
10,6,1.0,0.02500000037252903,0.4204849178592364,0.8973703781763712,-0.7531133810861722,0.005294498108201289,0.16008333333333333,-0.6115742807363068
50,6,1.0,0.02500000037252903,0.8997854987780253,0.9383142789204916,0.06674820674361429,0.002153071103062384,0.16591666666666666,-0.03513957220973485
100,6,1.0,0.02500000037252903,0.9394245147705078,0.9608015418052673,0.15800906798850975,0.001314326793290531,0.16258333333333333,0.02057272409260515
200,6,1.0,0.02500000037252903,0.9416337013244629,0.9729373852411906,0.21504217597020184,0.0019273213330356035,0.17033333333333334,0.050792755920286314
10,8,1.0,0.02500000037252903,0.08387077413499355,0.8493013580640157,-0.8136623651204754,0.003725914251955654,0.16425,-0.705589077771777
50,8,1.0,0.02500000037252903,0.8087869882583618,0.9171396891276041,-0.17210061304106575,0.0016023782695782642,0.16033333333333333,-0.16245118214270252
100,8,1.0,0.02500000037252903,0.9312603076299032,0.9677697420120239,0.0159373102789218,0.0014007721621319212,0.16425,-0.05853579683038609
200,8,1.0,0.02500000037252903,0.9380496144294739,0.9759843349456787,0.08925594549142653,0.0011110072879410232,0.16233333333333333,-0.03511981354260655
10,12,1.0,0.02500000037252903,0.06338910898193717,0.807282567024231,-0.8716877553549309,0.0025946227512670993,0.16191666666666665,-0.7923437095506605
50,12,1.0,0.02500000037252903,0.572429358959198,0.9153667291005453,-0.3987122701338355,0.0008138137974909203,0.16125,-0.2827486024001295
100,12,1.0,0.02500000037252903,0.7696380615234375,0.962920606136322,-0.05158955028617663,0.0007750458282323738,0.16191666666666665,-0.0709471058433216
200,12,1.0,0.02500000037252903,0.9326005975405375,0.9730448126792908,0.044686745660367184,0.000651437545957352,0.163,-0.06778176368666712
10,2,1.0,0.05000000074505806,0.7268912196159363,0.9268276691436768,-0.10076024004998095,0.022661602292248718,0.16625,-0.0624489018836027
50,2,1.0,0.05000000074505806,0.9544657667477926,0.9037201007207235,0.06784938072495722,0.008298000314590801,0.163,0.004237111356284162
100,2,1.0,0.05000000074505806,0.9771975676218668,0.9145978291829427,0.08378661995526641,0.0061817172644570715,0.16116666666666668,-0.029591103935146874
200,2,1.0,0.05000000074505806,0.9848124782244364,0.9375314712524414,0.10898051415495126,0.005093329822618553,0.1615,-0.002120032249404577
10,6,1.0,0.05000000074505806,0.35485076159238815,0.9419853488604227,-0.6162264470591661,0.004336449950756947,0.16375,-0.4368172997517345
50,6,1.0,0.05000000074505806,0.8920355240503947,0.9486589034398397,0.15259146933110163,0.00276058205942039,0.16633333333333333,0.037663138591203814
100,6,1.0,0.05000000074505806,0.9473581512769064,0.9535727103551229,0.18238094057082072,0.0017371617075334698,0.16566666666666666,0.05023470880012736
200,6,1.0,0.05000000074505806,0.9695507287979126,0.9535185496012369,0.10220195726061405,0.0015339687664860874,0.16291666666666665,-0.0017846293494380883
10,8,1.0,0.05000000074505806,0.13420098274946213,0.8335800170898438,-0.7650189071671533,0.00379885551304826,0.16308333333333333,-0.6360730306605332
50,8,1.0,0.05000000074505806,0.7806827624638876,0.940770169099172,-0.2914880897270131,0.0017806504645027374,0.16258333333333333,-0.20831794910747017
100,8,1.0,0.05000000074505806,0.8352819879849752,0.9691630204518636,0.11341625800755058,0.001877970177414405,0.16383333333333333,0.013256093351343985
200,8,1.0,0.05000000074505806,0.9710717598597208,0.9777533809343973,0.2705462560206941,0.0011420517575468719,0.16841666666666666,0.09606922518262749
10,12,1.0,0.05000000074505806,0.06722010190909107,0.6814510722955068,-0.8712615311411338,0.0051981954180835045,0.16558333333333333,-0.8000512933379114
50,12,1.0,0.05000000074505806,0.4546188861131668,0.8985089063644409,-0.3229539438854004,0.0013231683161155142,0.16391666666666665,-0.24188376638288692
100,12,1.0,0.05000000074505806,0.684639553229014,0.9653850992520651,-0.21463384632702978,0.0008717582154315254,0.16233333333333333,-0.19591131462078576
200,12,1.0,0.05000000074505806,0.8424053192138672,0.9479878147443136,0.03580249341629813,0.000758518354108194,0.165,-0.09302203258405656
10,2,1.0,0.07500000298023224,0.9209349354108175,0.9236970941225687,-0.2891037060221075,0.017063148067523553,0.16625,-0.18405042397311705
50,2,1.0,0.07500000298023224,0.9821611245473226,0.8758447368939718,0.04237091687885402,0.007520631387800583,0.16458333333333333,0.004588992319989936
100,2,1.0,0.07500000298023224,0.9760656158129374,0.9086043437321981,0.0888683575902543,0.006376110893853093,0.16416666666666666,-0.021455545359548408
200,2,1.0,0.07500000298023224,0.9919132391611735,0.9676696062088013,0.17271659373504802,0.004492384857022234,0.16341666666666665,0.02333783552485176
10,6,1.0,0.07500000298023224,0.45368826389312744,0.9306005438168844,-0.3981056842574454,0.0036312971531104565,0.1625,-0.3303364847797614
50,6,1.0,0.07500000298023224,0.895516057809194,0.9525208870569865,0.06849418697363306,0.002282812720341567,0.16416666666666666,-0.0018097233099587933
100,6,1.0,0.07500000298023224,0.8999231060345968,0.9648583928743998,0.1971490737537406,0.002101299401913515,0.16641666666666666,0.041451883776838644
200,6,1.0,0.07500000298023224,0.9776629209518433,0.9722184936205546,0.14859149883723596,0.0016632608217020668,0.162,0.012289514420736572
10,8,1.0,0.07500000298023224,0.3949773423373699,0.877663234869639,-0.7471843626602768,0.0030050733611298383,0.16383333333333333,-0.6180070555221894
50,8,1.0,0.07500000298023224,0.5832035740216573,0.908239503701528,-0.4272120213751973,0.001854333457661894,0.16233333333333333,-0.2822409264502287
100,8,1.0,0.07500000298023224,0.8875166376431783,0.9658997456232706,0.05084397273444779,0.0012945999102653655,0.161,-0.03726120851268224
200,8,1.0,0.07500000298023224,0.9568384488423666,0.977688193321228,0.2362456296052285,0.0009851324640512077,0.16483333333333333,0.06798795917353903
10,12,1.0,0.07500000298023224,0.04653412817666928,0.5642281572024027,-0.926850985791773,0.009517015156365204,0.16816666666666666,-0.9054265253863865
50,12,1.0,0.07500000298023224,0.6397036612033844,0.9085173408190409,-0.30724616173025493,0.0007323032611201468,0.16358333333333333,-0.2516077091202686
100,12,1.0,0.07500000298023224,0.7358092864354452,0.9646591544151306,-0.10498687190357536,0.0010583703433761174,0.16358333333333333,-0.09555490350935561
200,12,1.0,0.07500000298023224,0.9269148310025533,0.9791589577992758,0.1238204540227273,0.0008123346684183957,0.16475,-0.0445217461678507
10,2,1.0,0.10000000149011612,0.8191460967063904,0.9405372341473898,-0.375639547825864,0.025359855475258278,0.16375,-0.23338629523416057
50,2,1.0,0.10000000149011612,0.9692024985949198,0.9141227205594381,0.1321267110631011,0.010730791610893423,0.16391666666666665,0.02389791597980151
100,2,1.0,0.10000000149011612,0.9862691362698873,0.9259788393974304,0.1581156154100974,0.005510573993062059,0.16341666666666665,0.06101020676646176
200,2,1.0,0.10000000149011612,0.9932547211647034,0.9600633978843689,0.10722839037170671,0.004492346603799412,0.1625,-0.0031272296994629065
10,6,1.0,0.10000000149011612,0.4018128936489423,0.9287899533907572,-0.5226432609138909,0.0030447674161893333,0.16541666666666666,-0.3930699355565199
50,6,1.0,0.10000000149011612,0.8515524864196777,0.9568285346031189,0.019203915911349,0.003290942629080745,0.164,-0.043246992430627906
100,6,1.0,0.10000000149011612,0.9361598690350851,0.9777148365974426,0.17997695975899924,0.0018255994484241286,0.16508333333333333,0.06310784526655523
200,6,1.0,0.10000000149011612,0.9339214364687601,0.9608649015426636,0.17869201994658274,0.001828946020443953,0.16566666666666666,0.055277511360987894
10,8,1.0,0.10000000149011612,0.18738015492757162,0.8800830841064453,-0.5983909486927286,0.003894432092109767,0.16266666666666665,-0.42997471940299103
50,8,1.0,0.10000000149011612,0.8273926774660746,0.9491839607556661,-0.036239194139228124,0.0014666835064739904,0.16375,-0.09147509711288034
100,8,1.0,0.10000000149011612,0.8323594133059183,0.9710504213968912,-0.016707647144825033,0.0012511452181061342,0.16458333333333333,-0.09845169548929114
