N_L_comb,RA,KA
N10-L2,0.7995517756789923,0.9298644835750263
N50-L2,0.9480880014598371,0.8870134986937048
N100-L2,0.9738669109841186,0.908803440630436
N200-L2,0.9876425266265868,0.9456215587755044
N10-L6,0.31083022500388324,0.9050853090981642
N50-L6,0.8456628384689491,0.9581087318559487
N100-L6,0.9178766421973705,0.9662435526649157
N200-L6,0.9558971226215361,0.9680421004692713
N10-L8,0.13610624540888236,0.8383800772329172
N50-L8,0.672339474161466,0.9263874168197316
N100-L8,0.8495151450236638,0.9554747616251309
N200-L8,0.9298131950199603,0.9768068492412565
N10-L12,0.05272209283217913,0.6031595505774021
N50-L12,0.36669259242868674,0.8658452841142813
N100-L12,0.6430870033800603,0.8932523056864738
N200-L12,0.8355829585343599,0.937939677387476
