gain,base_lr,N_L_comb,G_lambda,G_lambda_log10
0.800000011920929,0.02500000037252903,N10-L2,0.019181059048190358,-1.7171274177030218
0.800000011920929,0.02500000037252903,N50-L2,0.004642286208518958,-2.3332680877170864
0.800000011920929,0.02500000037252903,N100-L2,0.0030358416232513963,-2.517720888883967
0.800000011920929,0.02500000037252903,N200-L2,0.002912037444072727,-2.535803045001303
0.800000011920929,0.02500000037252903,N10-L6,0.0051969693291453655,-2.2842498462370266
0.800000011920929,0.02500000037252903,N50-L6,0.0013996523091315853,-2.853979835021166
0.800000011920929,0.02500000037252903,N100-L6,0.0012833908116831247,-2.8916410743245553
0.800000011920929,0.02500000037252903,N200-L6,0.0006537218011092683,-3.184607031412274
0.800000011920929,0.02500000037252903,N10-L8,0.0029010599763182325,-2.5374432925297037
0.800000011920929,0.02500000037252903,N50-L8,0.0009418908440887063,-3.0259994247620803
0.800000011920929,0.02500000037252903,N100-L8,0.0009056648594047757,-3.043032482939221
0.800000011920929,0.02500000037252903,N200-L8,0.0009654284624746901,-3.0152799015878835
0.800000011920929,0.02500000037252903,N10-L12,0.003270727292537995,-2.485355665071977
0.800000011920929,0.02500000037252903,N50-L12,0.000692014530747334,-3.159884786241031
0.800000011920929,0.02500000037252903,N100-L12,0.0005629618705458715,-3.249521018953802
0.800000011920929,0.02500000037252903,N200-L12,0.00035910300729345934,-3.4447809578773074
0.800000011920929,0.05000000074505806,N10-L2,0.02165753944699801,-1.6643908859051566
0.800000011920929,0.05000000074505806,N50-L2,0.007543157214424903,-2.122446840627462
0.800000011920929,0.05000000074505806,N100-L2,0.0035009516988305425,-2.4558138809733476
0.800000011920929,0.05000000074505806,N200-L2,0.002797924911238025,-2.5531639449809194
0.800000011920929,0.05000000074505806,N10-L6,0.004160675253744813,-2.380836180148054
0.800000011920929,0.05000000074505806,N50-L6,0.0014193271896977896,-2.847917477480762
0.800000011920929,0.05000000074505806,N100-L6,0.0017263733362232279,-2.762865280272694
0.800000011920929,0.05000000074505806,N200-L6,0.0010826636937020118,-2.9655064267095614
0.800000011920929,0.05000000074505806,N10-L8,0.006225354645123044,-2.2058359027008554
0.800000011920929,0.05000000074505806,N50-L8,0.0011235301042156114,-2.9494152864673135
0.800000011920929,0.05000000074505806,N100-L8,0.000967632351924486,-3.0142896198188374
0.800000011920929,0.05000000074505806,N200-L8,0.0007029982909436346,-3.1530457307904904
0.800000011920929,0.05000000074505806,N10-L12,0.004119123268561594,-2.385195211186325
0.800000011920929,0.05000000074505806,N50-L12,0.0007457757002574554,-3.127391771438678
0.800000011920929,0.05000000074505806,N100-L12,0.0004812245832660632,-3.3176521949147086
0.800000011920929,0.05000000074505806,N200-L12,0.0002756214387067169,-3.559687004652987
0.800000011920929,0.07500000298023224,N10-L2,0.020464932860549397,-1.688989675809366
0.800000011920929,0.07500000298023224,N50-L2,0.005485231423683645,-2.26080504467841
0.800000011920929,0.07500000298023224,N100-L2,0.003715108713285594,-2.4300284731849016
0.800000011920929,0.07500000298023224,N200-L2,0.0029629821851401583,-2.5282709596973314
0.800000011920929,0.07500000298023224,N10-L6,0.0024379888723009137,-2.6129682809610077
0.800000011920929,0.07500000298023224,N50-L6,0.0015109170287441007,-2.8207593840712786
0.800000011920929,0.07500000298023224,N100-L6,0.001400576366763989,-2.8536932061835034
0.800000011920929,0.07500000298023224,N200-L6,0.0012411460070844886,-2.906177125559111
0.800000011920929,0.07500000298023224,N10-L8,0.0045032113201908894,-2.346477672615251
0.800000011920929,0.07500000298023224,N50-L8,0.0007763550036583824,-3.10993964359429
0.800000011920929,0.07500000298023224,N100-L8,0.0008791370698733283,-3.0559434070096194
0.800000011920929,0.07500000298023224,N200-L8,0.0008320769578678602,-3.0798365044404012
0.800000011920929,0.07500000298023224,N10-L12,0.010792282005627145,-1.9668867149403417
0.800000011920929,0.07500000298023224,N50-L12,0.0009220862758492319,-3.035228441883169
0.800000011920929,0.07500000298023224,N100-L12,0.00040144991823555753,-3.3963686262024355
0.800000011920929,0.07500000298023224,N200-L12,0.0003458414003442726,-3.461123018971747
0.800000011920929,0.10000000149011612,N10-L2,0.02197426245974753,-1.6580856925926286
0.800000011920929,0.10000000149011612,N50-L2,0.004952003211554554,-2.305219082332048
0.800000011920929,0.10000000149011612,N100-L2,0.003979507854768531,-2.400170633748957
0.800000011920929,0.10000000149011612,N200-L2,0.0029591314544520856,-2.528835741606829
0.800000011920929,0.10000000149011612,N10-L6,0.0043881804988505,-2.357715516912609
0.800000011920929,0.10000000149011612,N50-L6,0.001739133164905807,-2.7596671629256377
0.800000011920929,0.10000000149011612,N100-L6,0.0012143237350858173,-2.9156655162109937
0.800000011920929,0.10000000149011612,N200-L6,0.0014241646848410364,-2.8464397876778773
0.800000011920929,0.10000000149011612,N10-L8,0.008227574570114422,-2.084728172814513
0.800000011920929,0.10000000149011612,N50-L8,0.0012437716184868458,-2.9052593575363095
0.800000011920929,0.10000000149011612,N100-L8,0.0007851436712675059,-3.1050508656375055
0.800000011920929,0.10000000149011612,N200-L8,0.0006792085169668609,-3.167996876874058
0.800000011920929,0.10000000149011612,N10-L12,0.01671205966762125,-1.7769700224489782
0.800000011920929,0.10000000149011612,N50-L12,0.0008474448550794779,-3.071888552610284
0.800000011920929,0.10000000149011612,N100-L12,0.00038303982350712274,-3.4167560713830722
0.800000011920929,0.10000000149011612,N200-L12,0.0003115797124808927,-3.506430827778792
